Account,trade_date,daily_volume,daily_fee,total_trades,avg_trade_size,buy_volume,sell_volume,net_flow,value,classification
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-29,569559.72,142.41,19,29976.83,309568.74,259990.98,49577.76,65,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-30,702550.21,175.63,15,46836.68,326054.41,376495.8,-50441.39,68,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-01,264239.53,66.07,6,44039.92,132184.58,132054.95,129.63,65,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-02,121348.74,30.33,4,30337.18,60282.32,61066.42,-784.1,71,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-03,394499.36,98.63,14,28178.53,196816.9,197682.46,-865.56,70,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-04,99792.54,24.95,2,49896.27,49930.07,49862.47,67.6,68,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-05,1703942.66,426.01,28,60855.1,851889.51,852053.15,-163.64,72,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-06,298521.4,74.62,6,49753.57,149192.99,149328.41,-135.42,70,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-07,1048850.06,262.22,26,40340.39,552950.84,495899.22,57051.62,71,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-08,1522452.43,380.63,38,40064.54,734253.79,788198.64,-53944.85,71,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-09,870051.97,204.02,25,34802.08,434438.59,435613.38,-1174.79,76,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-10,2057479.48,434.08,105,19595.04,1029498.32,1027981.16,1517.16,73,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-11,259180.23,64.79,8,32397.53,129672.09,129508.14,163.95,76,"Extreme Greed"
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-11,46133.87,11.07,1,46133.87,46133.87,0,46133.87,76,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-12,200082.27,49.48,5,40016.45,102003.64,98078.63,3925.01,71,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-15,50006.24,12.5,1,50006.24,50006.24,0,50006.24,52,Neutral
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-15,629.86,0.15,1,629.86,0,629.86,-629.86,52,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-16,52945.25,13.23,2,26472.62,0,52945.25,-52945.25,64,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-16,63482.08,4.08,3,21160.69,20587.08,42895,-22307.92,64,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-17,800831.03,159.71,29,27614.86,400008.84,400822.19,-813.35,60,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-18,424631.53,92.68,25,16985.26,224782.04,199849.49,24932.55,63,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-01-19,1526.81,0.38,7,218.12,763.5,763.31,0.19,51,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-19,426902.16,92.68,15,28460.14,202143.33,224758.83,-22615.5,51,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-20,1070090.51,267.5,37,28921.37,559236.61,510853.9,48382.71,52,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-21,103129.74,25.78,4,25782.44,50298.23,52831.51,-2533.28,56,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-01-22,54022.58,4.11,33,1637.05,26428.18,27594.4,-1166.22,55,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-22,283856.41,63.37,18,15769.8,156410.83,127445.58,28965.25,55,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-23,414518.93,85.71,29,14293.76,241287.67,173231.26,68056.41,50,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-24,965084.59,227.77,20,48254.23,448494.47,516590.12,-68095.65,48,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-25,66566.13,16.64,1,66566.13,0,66566.13,-66566.13,52,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-01-26,9255.8,-0.18,2,4627.9,4582.8,4673,-90.2,49,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-26,2517.41,0.63,1,2517.41,2517.41,0,2517.41,49,Neutral
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-28,18109.03,-0.37,11,1646.28,0,18109.03,-18109.03,54,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-01-29,2068.86,0.23,2,1034.43,1033.57,1035.29,-1.72,55,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-29,412139.32,103.02,16,25758.71,205938,206201.32,-263.32,55,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-30,401011.38,100.25,8,50126.42,200592.61,200418.77,173.84,61,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-31,6305647.13,1549.41,134,47057.07,3176802.63,3128844.5,47958.13,60,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-01,2008.18,0.49,6,334.7,2008.18,0,2008.18,63,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-02,474278.43,91.58,20,23713.92,235899.96,238378.47,-2478.51,63,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-03,603820,109.66,17,35518.82,300826.92,302993.08,-2166.16,60,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-04,203187.53,50.52,11,18471.59,103415.98,99771.55,3644.43,60,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-05,770198.26,165.53,22,35009.01,385115.98,385082.28,33.7,60,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-06,8047153.41,988.62,574,14019.43,4028968.68,4018184.73,10783.95,64,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-07,6758.73,0.34,14,482.77,2258.76,4499.97,-2241.21,62,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-08,26051.12,2.99,8,3256.39,2867.95,23183.17,-20315.22,66,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-11,212311.82,24.96,24,8846.33,110772.36,101539.46,9232.9,71,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-12,227247.7,27.1,11,20658.88,113026.08,114221.62,-1195.54,70,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-13,1999.99,-0.03,13,153.85,0,1999.99,-1999.99,79,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-14,218138.7,10.76,59,3697.27,107249.7,110889,-3639.3,74,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-14,102701.18,12.17,9,11411.24,50500.28,52200.9,-1700.62,74,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-15,76437.88,3.51,38,2011.52,37706.56,38731.32,-1024.76,72,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-15,108750.16,27.19,4,27187.54,52466.67,56283.49,-3816.82,72,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-16,464143.87,2.23,139,3339.16,229324.71,234819.16,-5494.45,72,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-16,100752.64,24.99,4,25188.16,50752.89,49999.75,753.14,72,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-17,202359.19,11.33,41,4935.59,100344.59,102014.6,-1670.01,76,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-17,203758.88,50.74,7,29108.41,103373.08,100385.8,2987.28,76,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-18,157048.17,-3.07,97,1619.05,78285.28,78762.89,-477.61,72,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-19,236374.11,2.34,78,3030.44,116024.17,120349.94,-4325.77,75,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-19,50003.09,12.5,2,25001.54,25005.57,24997.52,8.05,75,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-20,117709.42,2.65,29,4058.95,57328.05,60381.37,-3053.32,72,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-20,1710.3,0.43,1,1710.3,0,1710.3,-1710.3,72,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-21,98041.92,0.46,16,6127.62,48091.57,49950.35,-1858.78,78,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-21,10005.6,2.5,1,10005.6,10005.6,0,10005.6,78,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-22,368033.23,24.23,53,6944.02,182069.62,185963.61,-3893.99,74,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-22,5000.64,1.25,1,5000.64,5000.64,0,5000.64,74,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-23,111106.14,-2.19,140,793.62,54843.8,56262.34,-1418.54,76,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-25,4480.13,-0.09,5,896.03,2255.45,2224.68,30.77,74,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-26,191687.17,-0.11,28,6845.97,93635.16,98052.01,-4416.85,72,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-26,499.97,-0.01,2,249.98,0,499.97,-499.97,72,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-27,206785.98,-4.17,54,3829.37,103236.92,103549.06,-312.14,79,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-27,2576.32,0.37,3,858.77,0,2576.32,-2576.32,79,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-28,171107.13,-1.4,42,4073.98,84301.61,86805.52,-2503.91,82,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-02-29,370839.64,-4.78,99,3745.85,181173.2,189666.44,-8493.24,80,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-29,24827.09,6.21,3,8275.7,0,24827.09,-24827.09,80,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-01,472974.7,-0.5,131,3610.49,232365.24,240609.46,-8244.22,80,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-02,60253.79,-1.21,16,3765.86,29289.51,30964.28,-1674.77,80,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-02,2943.77,0.74,2,1471.88,2943.77,0,2943.77,80,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-03,390745.68,-2.53,75,5209.94,191192.29,199553.39,-8361.1,83,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-04,1574220.16,-1.52,241,6532.03,777323.2,796896.96,-19573.76,82,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-04,3776.71,0.96,6,629.45,0,3776.71,-3776.71,82,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-05,841810.32,-4.46,148,5687.91,407410.34,434399.98,-26989.64,90,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-06,327218.02,-3.33,76,4305.5,160201.6,167016.42,-6814.82,75,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-08,183583.18,-3.67,67,2740.05,89875.48,93707.7,-3832.22,81,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,658178.75,1.82,94,7001.9,324113.79,334064.96,-9951.17,84,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-10,219973.85,2.27,40,5499.35,108745.45,111228.4,-2482.95,79,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-11,176519.45,8.48,42,4202.84,86465.61,90053.84,-3588.23,82,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-12,103040.85,4.95,8,12880.11,50000.84,53040.01,-3039.17,81,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-13,6000.8,2.1,3,2000.27,6000.8,0,6000.8,81,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-14,6066.28,2.12,1,6066.28,0,6066.28,-6066.28,88,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-14,199866.9,9.6,17,11756.88,98233.32,101633.58,-3400.26,88,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-15,26339.81,9.22,7,3762.83,15998.06,10341.75,5656.31,83,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-15,249644.77,13.66,33,7564.99,122067.75,127577.02,-5509.27,83,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-15,75909.83,26.56,7,10844.26,32384.5,43525.33,-11140.83,83,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-16,27223.66,9.53,6,4537.28,21000.38,6223.28,14777.1,81,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-16,10000,1,2,5000,0,10000,-10000,81,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-17,87063.35,30.47,8,10882.92,32816.68,54246.67,-21429.99,79,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-17,4940.99,0.66,6,823.5,2433.69,2507.3,-73.61,79,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-17,7502.61,2.63,2,3751.3,7502.61,0,7502.61,79,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-18,34001.9,11.9,7,4857.41,34001.9,0,34001.9,77,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-18,51241.71,11.22,2,25620.86,24998.53,26243.18,-1244.65,77,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-18,5214.47,1.83,1,5214.47,0,5214.47,-5214.47,77,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-19,9067.51,3.17,2,4533.76,9067.51,0,9067.51,79,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-19,180988.91,17.37,10,18098.89,90073.01,90915.9,-842.89,79,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-19,29828.42,5.45,9,3314.27,20000.77,9827.65,10173.12,79,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-20,144362.44,16.76,44,3280.96,70884.65,73477.79,-2593.14,74,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-20,71343.41,23.1,8,8917.93,27506.93,43836.48,-16329.55,74,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-21,9744.18,3.41,1,9744.18,9744.18,0,9744.18,78,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-21,97908.18,9.41,23,4256.88,47905.5,50002.68,-2097.18,78,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-21,10243.21,3.58,2,5121.6,5002.45,5240.76,-238.31,78,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-24,92592.21,8.89,19,4873.27,45647.57,46944.64,-1297.07,74,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-25,57116.32,19.99,2,28558.16,0,57116.32,-57116.32,75,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-26,23986.34,8.39,5,4797.27,20985.55,3000.79,17984.76,81,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-26,174578.85,19.8,104,1678.64,85691.78,88887.07,-3195.29,81,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-27,87066.1,30.47,11,7915.1,50943.67,36122.43,14821.24,83,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-27,12798.69,1.23,11,1163.52,6418.74,6379.95,38.79,83,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-28,20013.89,7,1,20013.89,20013.89,0,20013.89,80,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-28,15309.83,2.06,10,1530.98,7540.98,7768.85,-227.87,80,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-29,86914.37,30.42,7,12416.34,33001.47,53912.9,-20911.43,79,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-30,101103.92,9.96,43,2351.25,50001.66,51102.26,-1100.6,75,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-31,39912.96,13.97,2,19956.48,0,39912.96,-39912.96,75,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-01,134989.44,47.24,9,14998.83,125990.24,8999.2,116991.04,79,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-01,204481.03,36.5,28,7302.89,100987.23,103493.8,-2506.57,79,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-02,224664.62,78.64,11,20424.06,26398.42,198266.2,-171867.78,79,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-04-02,14999.89,1.5,4,3749.97,14999.89,0,14999.89,79,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-03,6887.91,0.66,2,3443.96,3380.56,3507.35,-126.79,71,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-04-03,9999.66,1,2,4999.83,9999.66,0,9999.66,71,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-04,95987.73,33.6,4,23996.93,0,95987.73,-95987.73,70,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-05,172531.57,60.39,4,43132.89,172531.57,0,172531.57,79,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-05,305295.15,34.01,80,3816.19,149999.39,155295.76,-5296.37,79,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-04-05,25965.08,9.09,3,8655.03,0,25965.08,-25965.08,79,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-06,68223.67,23.88,5,13644.73,0,68223.67,-68223.67,75,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-07,49988.14,17.5,2,24994.07,0,49988.14,-49988.14,78,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-08,163166.37,57.11,5,32633.27,0,163166.37,-163166.37,76,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-08,48774.27,4.68,2,24387.14,23777.92,24996.35,-1218.43,76,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-09,57063.84,19.97,1,57063.84,0,57063.84,-57063.84,80,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-10,351735.97,123.11,5,70347.19,339369.25,12366.72,327002.53,78,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-11,76400.96,26.74,5,15280.19,52007.32,24393.64,27613.68,76,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-12,149909.08,52.47,5,29981.82,149909.08,0,149909.08,79,"Extreme Greed"
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-12,261851.91,34.51,66,3967.45,129807.07,132044.84,-2237.77,79,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-04-12,30327.6,10.61,1,30327.6,30327.6,0,30327.6,79,"Extreme Greed"
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-13,156188.7,54.66,5,31237.74,156188.7,0,156188.7,72,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-13,330222.55,64.34,41,8054.21,161800.56,168421.99,-6621.43,72,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-14,588765.94,206.07,6,98127.66,255259.2,333506.74,-78247.54,72,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-14,70396.23,7.39,38,1852.53,34967.04,35429.19,-462.15,72,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-15,50013.95,17.5,1,50013.95,50013.95,0,50013.95,74,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-15,241097.24,23.16,38,6344.66,118661.57,122435.67,-3774.1,74,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-16,181816.09,18.42,44,4132.18,88836.19,92979.9,-4143.71,65,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-04-16,91.08,0.03,1,91.08,0,91.08,-91.08,65,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-17,97562.99,10.63,8,12195.37,47560.77,50002.22,-2441.45,67,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-19,337257.92,118.03,6,56209.65,18004.65,319253.27,-301248.62,66,Greed
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-04-20,48733.65,117.08,11,4430.33,48733.65,0,48733.65,66,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-20,11999.59,4.2,1,11999.59,0,11999.59,-11999.59,66,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-22,47993.61,16.8,3,15997.87,0,47993.61,-47993.61,73,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-23,192658.47,67.43,8,24082.31,143944.16,48714.31,95229.85,71,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-23,40396.43,3.89,12,3366.37,20018.06,20378.37,-360.31,71,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-24,141275.24,49.44,10,14127.52,92999.91,48275.33,44724.58,72,Greed
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-04-25,51261.87,136.02,7,7323.12,51261.87,0,51261.87,72,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-25,68979.14,24.14,3,22993.05,68979.14,0,68979.14,72,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-04-26,4988.29,1.75,1,4988.29,0,4988.29,-4988.29,70,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-27,154264.47,53.99,3,51421.49,0,154264.47,-154264.47,67,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-04-28,26999.41,9.45,2,13499.7,0,26999.41,-26999.41,65,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-04-28,16986.19,5.95,4,4246.55,0,16986.19,-16986.19,65,Greed
